rooftop_id,enterprise_id,rooftop_name,enterprise_name,Company Domain ,csm_poc,Product Stage,city,district,state,country,zipcode,account_type,account_sub_type,address_line1,address_line2,geo_coordinates
6544834b12,2ce4b6c06,Victorville Mitsubishi,Joshua Tree Chrysler Dodge Jeep Ram,victorvillemitsubishi.com,ishika.arora@spyne.ai,Studio Live,Victorville,San Bernardino County,California,United States,92392,GROUP_DEALER,FRANCHISE_DEALER,"15529, Ramona Avenue",San Bernardino County,"{""lat"":34.5090425,""lng"":-117.3248797}"
21099fa3f,e795be15e,2Mazda_1,2Mazda,2mazda.com,zeeshana.aijaz@spyne.ai,Studio Churned,Loveland,,Colorado,United States,80538,GROUP_DEALER,FRANCHISE_DEALER,3850 Byrd Dr,,"{""lat"":40.4308041,""lng"":-104.9948006}"
43b96ab81,914365f63,Dellenbach,2d5f0eb5f Dellenbach Motors,dellenbachcadillac.com,vishal.singh1@spyne.ai,Studio Live,Fort Collins,,Colorado,United States,80525,GROUP_DEALER,FRANCHISE_DEALER,125 W. SWALLOW,,"{""lat"":40.5468581,""lng"":-105.0625231}"
64993e0440,914365f63,Dellenbach Subaru,2d5f0eb5f Dellenbach Motors,dellenbachcadillac.com,vishal.singh1@spyne.ai,Studio Live,Fort Collins,,Colorado,United States,80525,GROUP_DEALER,FRANCHISE_DEALER,125 W. SWALLOW,,"{""lat"":40.5468581,""lng"":-105.0625231}"
f586ec34ab,e89409525,4season Motors Llc,4 Season Motors LLC,4seasonmotor.com,prathamesh.prashant@spyne.ai,Studio Live,Sunnyside,,Washington,United States,98944,INDIVIDUAL_DEALER,INDEPENDENT_DEALER,1119 S 16th Street,,"{""lat"":46.3220098,""lng"":-119.9992676}"
8c0048630f,bafd919bb,4M Autoplex,4M Autoplex,4mautoplex.com,prathamesh.prashant@spyne.ai,Studio Live,Abilene,Taylor County,Texas,United States,79605,INDIVIDUAL_DEALER,INDEPENDENT_DEALER,"2441, Industrial Boulevard","Red Bud Area, Taylor County","{""lat"":32.4010055,""lng"":-99.7528918}"
836ddc98a,8beb245f4,5 Star Imports_2,5 Star Imports,5starimports.com,prathamesh.prashant@spyne.ai,Studio Live,Noblesville,,Indiana,United States,46060,INDIVIDUAL_DEALER,INDEPENDENT_DEALER,1150 South Street,,"{""lat"":40.0346255,""lng"":-86.0100996}"
6eb794982,a3a20bdb2,615 Auto Sales,615 Auto Sales INC,615autosales.com,manpreet.kaur@spyne.ai,Studio Churned,Hendersonville,,Tennessee,United States,37075,GROUP_DEALER,INDEPENDENT_DEALER,615 W Main St,,"{""lat"":36.3026772,""lng"":-86.6375865}"
ceb3ea1f49,47cd4c74d,KAYAN MOTORS LIMITED,A2B Direct Cars Ltd,,anuj.tewatia@spyne.ai,Studio Live,London,LONDON,Greater London,UK,HA0 1JQ,INDIVIDUAL_DEALER,INDEPENDENT_DEALER,416 EALING ROAD,WEMBLEY,"{""lat"":37.7749,""lng"":-122.4194}"
cfe0d77a59,2b8948cea,AX Auto INC,AX Auto INC,axautos.com,garvit.sharma@spyne.ai,Studio Live,Houston,,Texas,United States,77017,INDIVIDUAL_DEALER,INDEPENDENT_DEALER,7200 Gulf Fwy,,"{""lat"":29.6952514,""lng"":-95.2905121}"
01f4a8c0e9,6a8cd61ce,AceAutoInc,AceAutoInc,aceautocredit.ca,garvit.sharma@spyne.ai,Studio Live,Edmonton,Southeast Edmonton,Alberta,Canada,T6E 0C9,INDIVIDUAL_DEALER,INDEPENDENT_DEALER,"9508, 62 Avenue Northwest","Southeast Edmonton, Southeast Edmonton","{""lat"":53.498618,""lng"":-113.4746108}"
361d96ec6,0180ac645,Adams jeep of Maryland,Adams Jeep of Maryland Inc,adamsjeepofmaryland.com,sanyam.tyagi@spyne.ai,Studio Live,Aberdeen,,Maryland,United States,21001,INDIVIDUAL_DEALER,FRANCHISE_DEALER,3485 Churchville Rd,,"{""lat"":39.5371604,""lng"":-76.2130657}"
b883998eb4,0180ac645,Team 1,Adams Jeep of Maryland Inc,,sanyam.tyagi@spyne.ai,Studio Live,Aberdeen,,Maryland,United States,21001,INDIVIDUAL_DEALER,FRANCHISE_DEALER,3485 Churchville Rd,,"{""lat"":39.5371604,""lng"":-76.2130657}"
